epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4598,2.09628,3.3583,2.1898,0.0034,0.80952,0.05475,0.01863,2.33263,4.29741,2.18648,0.00018,0.00018,0.00018
2,104.409,1.8442,2.82032,1.91459,0.00313,0.74603,0.05955,0.02288,2.66037,4.53956,2.39362,0.00036119,0.00036119,0.00036119
3,154.705,1.70846,2.71415,1.83059,0.00373,0.88889,0.14187,0.04104,2.3199,4.12937,2.19322,0.00052258,0.00052258,0.00052258
4,204.207,1.65311,2.66301,1.82629,0.0036,0.85714,0.1544,0.05065,2.25158,4.02504,2.26571,0.00066417,0.00066417,0.00066417
5,254.828,1.72463,2.55502,1.80839,0.19634,0.07937,0.07787,0.02231,2.54676,4.2452,2.34612,0.00078596,0.00078596,0.00078596
6,305.788,1.77113,2.45198,1.86349,0.10249,0.06349,0.03139,0.00746,2.50624,4.21069,2.5123,0.00088795,0.00088795,0.00088795
7,355.181,1.79719,2.47667,1.85835,0.09503,0.2381,0.05162,0.01487,2.38234,4.3332,2.68102,0.00097014,0.00097014,0.00097014
8,405.843,1.84028,2.6078,1.87839,0.07663,0.11111,0.03766,0.00842,2.53059,4.95176,2.88907,0.00103253,0.00103253,0.00103253
9,456.647,1.74604,2.29616,1.8045,0.07933,0.26984,0.06777,0.01898,2.46373,5.2921,2.6973,0.00107512,0.00107512,0.00107512
10,509.079,1.708,2.32482,1.80983,0.18699,0.20635,0.09788,0.02186,2.41271,8.06533,2.72608,0.00109791,0.00109791,0.00109791
11,559.449,1.71788,2.61539,1.9051,0.14801,0.25397,0.11274,0.03596,2.44532,5.75393,2.64428,0.00101,0.00101,0.00101
12,610.672,1.7112,2.50522,1.99614,0.10131,0.36508,0.08285,0.02641,2.3596,5.75064,2.58843,0.000911,0.000911,0.000911
13,661.435,1.66351,2.3064,1.85443,0.1422,0.38095,0.12529,0.03197,2.46017,5.35717,2.65893,0.000812,0.000812,0.000812
14,712.843,1.62515,2.25762,1.85257,0.15593,0.22222,0.08253,0.02179,2.44834,5.3126,2.73972,0.000713,0.000713,0.000713
15,766.135,1.48461,2.02727,1.67282,0.17639,0.22222,0.11498,0.03739,2.37036,4.043,2.52145,0.000614,0.000614,0.000614
16,818.185,1.5294,2.12425,1.73049,0.20499,0.1746,0.12137,0.03575,2.37407,3.66509,2.54627,0.000515,0.000515,0.000515
17,873.217,1.43189,1.94069,1.65847,0.13256,0.25397,0.1127,0.03448,2.3272,3.75465,2.46676,0.000416,0.000416,0.000416
18,928.995,1.38513,1.83039,1.62631,0.20793,0.33333,0.15699,0.05028,2.3443,3.30589,2.31854,0.000317,0.000317,0.000317
19,980.457,1.35288,1.75989,1.60489,0.26979,0.28739,0.18394,0.05407,2.35728,3.17579,2.35218,0.000218,0.000218,0.000218
20,1031.72,1.30425,1.64903,1.53028,0.25871,0.30159,0.17102,0.05064,2.36951,3.18434,2.35553,0.000119,0.000119,0.000119
